student_id,year,policy,demographic,overall_satisfaction,academic_satisfaction,social_satisfaction,diversity_satisfaction,career_prep_satisfaction
86,2020,Race-Conscious Admissions,White,2,1,2,3,3
87,2020,Race-Conscious Admissions,White,3,3,3,3,3
88,2020,Race-Conscious Admissions,White,4,5,2,5,3
89,2020,Race-Conscious Admissions,Hispanic,3,4,1,4,1
90,2020,Race-Conscious Admissions,Asian,4,3,4,3,5
91,2020,Race-Conscious Admissions,Black,2,2,3,3,1
92,2020,Race-Conscious Admissions,Asian,1,1,1,3,2
93,2020,Race-Conscious Admissions,White,3,5,1,3,4
94,2020,Race-Conscious Admissions,White,3,4,5,3,1
95,2020,Race-Conscious Admissions,White,2,2,3,5,1
96,2020,Race-Conscious Admissions,Hispanic,3,4,2,2,2
97,2020,Race-Conscious Admissions,White,3,5,1,4,4
98,2020,Race-Conscious Admissions,White,3,4,3,3,3
99,2020,Race-Conscious Admissions,White,3,3,1,4,4
100,2020,Race-Conscious Admissions,White,5,5,3,5,5
101,2020,Race-Conscious Admissions,Hispanic,3,2,4,4,1
102,2020,Race-Conscious Admissions,Hispanic,3,3,2,3,5
103,2020,Race-Conscious Admissions,Asian,3,5,2,3,4
104,2020,Race-Conscious Admissions,White,2,4,1,2,2
105,2020,Race-Conscious Admissions,Asian,3,5,1,4,1
106,2020,Race-Conscious Admissions,Asian,2,2,1,5,3
107,2020,Race-Conscious Admissions,Black,2,2,5,3,1
108,2020,Race-Conscious Admissions,Asian,4,5,4,4,3
109,2020,Race-Conscious Admissions,Asian,2,2,2,2,4
110,2020,Race-Conscious Admissions,White,3,2,3,4,5
111,2020,Race-Conscious Admissions,White,3,1,4,3,5
112,2020,Race-Conscious Admissions,White,3,3,4,3,3
113,2020,Race-Conscious Admissions,Black,1,1,1,3,1
114,2020,Race-Conscious Admissions,Asian,4,5,1,3,5
115,2020,Race-Conscious Admissions,White,3,4,3,3,2
116,2020,Race-Conscious Admissions,White,1,1,1,3,3
117,2020,Race-Conscious Admissions,White,4,3,5,3,5
118,2020,Race-Conscious Admissions,Hispanic,2,3,1,4,3
119,2020,Race-Conscious Admissions,Asian,3,3,1,4,5
120,2020,Race-Conscious Admissions,White,3,2,2,4,4
121,2020,Race-Conscious Admissions,Asian,2,4,2,1,1
122,2020,Race-Conscious Admissions,White,2,3,1,1,3
123,2020,Race-Conscious Admissions,White,3,1,2,3,5
124,2020,Race-Conscious Admissions,White,1,1,1,3,2
125,2020,Race-Conscious Admissions,White,3,5,1,4,4
126,2020,Race-Conscious Admissions,White,2,1,2,2,4
127,2020,Race-Conscious Admissions,White,3,3,2,3,2
128,2020,Race-Conscious Admissions,Asian,3,3,2,5,2
129,2020,Race-Conscious Admissions,Hispanic,3,5,1,4,1
130,2020,Race-Conscious Admissions,Black,3,1,3,3,3
131,2020,Race-Conscious Admissions,Hispanic,2,2,1,4,1
132,2020,Race-Conscious Admissions,White,2,2,2,4,1
133,2020,Race-Conscious Admissions,White,3,3,2,3,2
134,2020,Race-Conscious Admissions,White,3,4,2,3,3
135,2020,Race-Conscious Admissions,White,3,3,2,3,2
136,2020,Race-Conscious Admissions,Hispanic,3,4,1,1,3
137,2020,Race-Conscious Admissions,Black,4,3,1,4,5
138,2020,Race-Conscious Admissions,Black,3,2,3,5,3
139,2020,Race-Conscious Admissions,Asian,4,4,5,5,1
140,2020,Race-Conscious Admissions,Hispanic,3,4,3,3,1
141,2020,Race-Conscious Admissions,White,4,5,4,4,5
142,2020,Race-Conscious Admissions,Black,3,2,1,1,5
143,2020,Race-Conscious Admissions,Other,3,5,3,4,1
144,2020,Race-Conscious Admissions,Asian,2,1,4,3,1
145,2020,Race-Conscious Admissions,White,2,2,1,4,1
146,2020,Race-Conscious Admissions,Asian,4,2,5,5,4
147,2020,Race-Conscious Admissions,White,1,1,3,2,2
148,2020,Race-Conscious Admissions,Asian,2,3,1,3,2
149,2020,Race-Conscious Admissions,White,3,3,4,1,2
150,2020,Race-Conscious Admissions,Asian,3,4,3,3,3
151,2020,Race-Conscious Admissions,Black,3,3,3,2,5
152,2020,Race-Conscious Admissions,Black,4,5,1,2,5
153,2020,Race-Conscious Admissions,Hispanic,2,4,2,4,1
154,2020,Race-Conscious Admissions,White,4,4,3,3,5
155,2020,Race-Conscious Admissions,White,3,3,3,3,2
156,2020,Race-Conscious Admissions,Asian,2,4,2,1,2
157,2020,Race-Conscious Admissions,Hispanic,3,5,2,5,1
158,2020,Race-Conscious Admissions,Asian,3,4,2,4,1
159,2020,Race-Conscious Admissions,White,3,4,2,2,5
160,2020,Race-Conscious Admissions,White,2,1,3,3,1
161,2020,Race-Conscious Admissions,White,3,4,4,3,2
162,2020,Race-Conscious Admissions,White,3,1,5,2,3
163,2020,Race-Conscious Admissions,White,3,5,3,4,1
164,2020,Race-Conscious Admissions,Hispanic,4,5,3,2,5
165,2020,Race-Conscious Admissions,White,3,4,4,3,1
166,2020,Race-Conscious Admissions,Asian,4,4,4,5,1
167,2020,Race-Conscious Admissions,Hispanic,3,5,1,3,5
168,2020,Race-Conscious Admissions,Asian,2,5,1,4,1
169,2020,Race-Conscious Admissions,Asian,3,2,2,5,3
170,2020,Race-Conscious Admissions,White,3,4,1,5,4
171,2020,Race-Conscious Admissions,White,1,1,1,3,3
172,2020,Race-Conscious Admissions,Asian,2,3,3,4,1
173,2020,Race-Conscious Admissions,White,2,1,3,3,1
174,2020,Race-Conscious Admissions,Asian,3,3,3,4,2
175,2020,Race-Conscious Admissions,Black,1,1,4,2,1
176,2020,Race-Conscious Admissions,Asian,3,4,4,2,3
177,2020,Race-Conscious Admissions,White,2,5,1,4,1
178,2020,Race-Conscious Admissions,Asian,3,5,2,2,1
179,2020,Race-Conscious Admissions,White,3,2,1,4,5
180,2020,Race-Conscious Admissions,White,2,1,1,4,1
181,2020,Race-Conscious Admissions,Asian,2,3,1,4,1
182,2020,Race-Conscious Admissions,Asian,3,4,3,4,2
183,2020,Race-Conscious Admissions,White,3,2,2,3,5
184,2020,Race-Conscious Admissions,Asian,3,5,3,2,1
185,2020,Race-Conscious Admissions,White,2,4,1,1,4
186,2020,Race-Conscious Admissions,White,3,1,1,5,4
187,2020,Race-Conscious Admissions,Black,3,4,3,5,1
188,2020,Race-Conscious Admissions,White,2,3,2,3,1
189,2020,Race-Conscious Admissions,Hispanic,2,2,2,5,1
190,2020,Race-Conscious Admissions,White,3,3,2,4,4
191,2020,Race-Conscious Admissions,White,3,3,2,3,3
192,2020,Race-Conscious Admissions,Asian,2,2,3,3,1
193,2020,Race-Conscious Admissions,White,2,2,3,4,1
194,2020,Race-Conscious Admissions,White,3,1,2,3,4
195,2020,Race-Conscious Admissions,White,4,5,4,4,2
196,2020,Race-Conscious Admissions,White,3,1,5,1,5
197,2020,Race-Conscious Admissions,White,3,5,3,3,2
198,2020,Race-Conscious Admissions,White,4,5,3,4,1
199,2020,Race-Conscious Admissions,White,3,2,3,5,1
200,2020,Race-Conscious Admissions,White,4,5,1,5,4
201,2020,Race-Conscious Admissions,White,3,1,1,5,5
202,2020,Race-Conscious Admissions,Asian,3,2,2,3,5
203,2020,Race-Conscious Admissions,White,3,5,2,2,1
204,2020,Race-Conscious Admissions,Black,3,1,1,5,5
205,2020,Race-Conscious Admissions,White,1,2,1,4,1
206,2020,Race-Conscious Admissions,Hispanic,2,2,1,3,2
207,2020,Race-Conscious Admissions,Asian,4,5,2,4,3
208,2020,Race-Conscious Admissions,White,3,4,1,2,5
209,2020,Race-Conscious Admissions,Black,3,2,1,4,3
210,2020,Race-Conscious Admissions,White,3,4,1,3,1
211,2020,Race-Conscious Admissions,Hispanic,2,3,4,3,1
212,2020,Race-Conscious Admissions,Asian,3,3,1,2,5
213,2020,Race-Conscious Admissions,White,3,4,3,3,3
214,2020,Race-Conscious Admissions,Other,2,3,1,3,2
215,2020,Race-Conscious Admissions,White,4,4,3,3,4
216,2020,Race-Conscious Admissions,Asian,3,2,5,3,1
217,2020,Race-Conscious Admissions,Hispanic,2,4,2,3,1
218,2020,Race-Conscious Admissions,White,4,1,3,4,5
219,2020,Race-Conscious Admissions,Hispanic,3,5,2,3,3
220,2020,Race-Conscious Admissions,White,4,2,3,4,5
221,2020,Race-Conscious Admissions,White,2,1,1,4,4
222,2020,Race-Conscious Admissions,White,3,2,1,3,5
223,2020,Race-Conscious Admissions,Other,3,1,3,4,5
224,2020,Race-Conscious Admissions,Asian,3,5,1,3,3
225,2020,Race-Conscious Admissions,Hispanic,3,4,3,2,2
226,2020,Race-Conscious Admissions,White,2,5,1,3,1
227,2020,Race-Conscious Admissions,Black,1,2,1,3,1
228,2020,Race-Conscious Admissions,Hispanic,3,1,4,4,2
229,2020,Race-Conscious Admissions,Hispanic,2,1,4,2,1
230,2020,Race-Conscious Admissions,Hispanic,1,1,1,2,1
231,2020,Race-Conscious Admissions,Asian,2,1,3,5,2
232,2020,Race-Conscious Admissions,White,3,1,5,3,3
233,2020,Race-Conscious Admissions,Asian,1,2,1,4,1
234,2020,Race-Conscious Admissions,Asian,4,4,2,2,5
235,2020,Race-Conscious Admissions,Other,3,2,1,5,4
236,2020,Race-Conscious Admissions,Hispanic,2,1,1,3,1
237,2020,Race-Conscious Admissions,White,3,4,1,3,5
238,2020,Race-Conscious Admissions,Black,2,1,1,5,4
239,2020,Race-Conscious Admissions,White,1,1,1,2,1
240,2020,Race-Conscious Admissions,Asian,2,1,1,3,2
241,2020,Race-Conscious Admissions,Asian,4,5,3,4,5
242,2020,Race-Conscious Admissions,Black,2,2,1,5,3
243,2020,Race-Conscious Admissions,White,2,1,2,4,2
244,2020,Race-Conscious Admissions,Black,2,3,1,3,1
245,2020,Race-Conscious Admissions,Hispanic,1,1,1,1,2
246,2020,Race-Conscious Admissions,White,4,5,1,5,3
247,2020,Race-Conscious Admissions,Asian,2,1,3,4,1
248,2020,Race-Conscious Admissions,White,2,1,3,3,4
249,2020,Race-Conscious Admissions,Asian,2,1,3,3,2
250,2020,Race-Conscious Admissions,White,4,4,1,5,5
251,2020,Race-Conscious Admissions,White,3,5,4,1,2
252,2020,Race-Conscious Admissions,White,3,4,3,4,1
253,2020,Race-Conscious Admissions,White,2,4,3,3,1
254,2020,Race-Conscious Admissions,White,2,3,1,4,3
255,2020,Race-Conscious Admissions,White,2,1,1,4,4
256,2020,Race-Conscious Admissions,Asian,3,5,1,3,2
257,2020,Race-Conscious Admissions,White,3,2,3,4,2
258,2020,Race-Conscious Admissions,Black,3,5,2,2,4
259,2020,Race-Conscious Admissions,Asian,3,2,1,5,4
260,2020,Race-Conscious Admissions,White,3,4,1,5,5
261,2020,Race-Conscious Admissions,White,3,5,2,4,1
262,2020,Race-Conscious Admissions,Black,3,5,2,3,3
263,2020,Race-Conscious Admissions,Hispanic,4,5,2,4,4
264,2020,Race-Conscious Admissions,White,4,5,2,3,4
265,2020,Race-Conscious Admissions,White,2,1,3,2,3
266,2020,Race-Conscious Admissions,White,3,5,1,4,2
267,2020,Race-Conscious Admissions,White,2,1,2,4,2
268,2020,Race-Conscious Admissions,Hispanic,4,5,3,3,4
269,2020,Race-Conscious Admissions,Black,2,4,1,2,2
270,2020,Race-Conscious Admissions,White,1,1,1,4,1
271,2020,Race-Conscious Admissions,White,3,1,4,4,3
272,2020,Race-Conscious Admissions,Black,2,1,2,3,4
273,2020,Race-Conscious Admissions,Asian,3,5,1,5,1
274,2020,Race-Conscious Admissions,Hispanic,4,3,2,4,5
275,2020,Race-Conscious Admissions,White,3,4,1,4,2
276,2020,Race-Conscious Admissions,White,3,4,4,3,2
277,2020,Race-Conscious Admissions,Asian,4,2,4,3,5
278,2020,Race-Conscious Admissions,White,3,2,1,3,4
279,2020,Race-Conscious Admissions,Asian,3,3,3,4,1
280,2020,Race-Conscious Admissions,Asian,3,1,4,3,2
281,2020,Race-Conscious Admissions,White,2,3,2,2,1
282,2020,Race-Conscious Admissions,Asian,4,5,1,3,4
283,2020,Race-Conscious Admissions,Asian,3,3,3,5,1
284,2020,Race-Conscious Admissions,White,1,2,1,4,1
285,2020,Race-Conscious Admissions,Hispanic,3,4,1,4,2
286,2020,Race-Conscious Admissions,White,3,1,1,4,4
287,2020,Race-Conscious Admissions,White,2,1,3,4,1
288,2020,Race-Conscious Admissions,White,3,1,2,4,4
289,2020,Race-Conscious Admissions,White,2,1,2,4,3
290,2020,Race-Conscious Admissions,White,3,1,4,3,5
291,2020,Race-Conscious Admissions,Black,3,1,3,4,3
292,2020,Race-Conscious Admissions,White,4,4,3,4,3
293,2020,Race-Conscious Admissions,Asian,3,1,3,4,5
294,2020,Race-Conscious Admissions,White,3,5,1,4,2
295,2020,Race-Conscious Admissions,Black,3,5,1,2,2
296,2020,Race-Conscious Admissions,White,3,3,3,3,2
297,2020,Race-Conscious Admissions,White,3,5,3,4,1
298,2020,Race-Conscious Admissions,White,3,4,3,3,1
299,2020,Race-Conscious Admissions,Asian,4,5,2,4,4
300,2020,Race-Conscious Admissions,White,3,5,3,2,1
301,2020,Race-Conscious Admissions,White,4,3,3,4,5
302,2020,Race-Conscious Admissions,Asian,3,2,5,4,1
303,2020,Race-Conscious Admissions,Hispanic,2,1,3,4,2
304,2020,Race-Conscious Admissions,White,4,5,2,4,5
305,2020,Race-Conscious Admissions,Black,4,3,4,3,5
306,2020,Race-Conscious Admissions,Hispanic,2,2,3,2,2
307,2020,Race-Conscious Admissions,White,3,5,1,5,1
308,2020,Race-Conscious Admissions,White,3,4,5,3,1
309,2020,Race-Conscious Admissions,White,2,1,4,3,1
310,2020,Race-Conscious Admissions,White,2,1,1,3,4
311,2020,Race-Conscious Admissions,Hispanic,3,2,3,3,5
312,2020,Race-Conscious Admissions,Asian,3,3,3,4,2
313,2020,Race-Conscious Admissions,White,3,3,4,4,1
314,2020,Race-Conscious Admissions,Asian,2,3,1,4,2
315,2020,Race-Conscious Admissions,White,4,4,3,4,4
316,2020,Race-Conscious Admissions,White,1,3,1,1,1
317,2020,Race-Conscious Admissions,Hispanic,2,1,2,4,2
318,2020,Race-Conscious Admissions,Black,4,2,4,4,5
319,2020,Race-Conscious Admissions,Hispanic,3,1,1,4,5
320,2020,Race-Conscious Admissions,White,3,4,2,3,3
321,2020,Race-Conscious Admissions,Asian,4,2,4,5,4
322,2020,Race-Conscious Admissions,Black,3,1,2,2,5
323,2020,Race-Conscious Admissions,Black,3,2,4,5,2
324,2020,Race-Conscious Admissions,White,2,2,3,3,1
325,2020,Race-Conscious Admissions,Hispanic,2,1,3,2,2
326,2020,Race-Conscious Admissions,Black,2,1,2,3,3
327,2020,Race-Conscious Admissions,Asian,3,3,4,4,3
328,2020,Race-Conscious Admissions,Asian,3,4,3,3,4
329,2020,Race-Conscious Admissions,Black,3,3,2,3,3
330,2020,Race-Conscious Admissions,Asian,3,1,2,3,5
331,2020,Race-Conscious Admissions,Hispanic,3,5,2,4,1
332,2020,Race-Conscious Admissions,White,1,1,1,3,1
333,2020,Race-Conscious Admissions,White,3,4,3,4,3
334,2020,Race-Conscious Admissions,Asian,1,1,1,3,1
335,2020,Race-Conscious Admissions,Hispanic,4,5,2,5,4
336,2020,Race-Conscious Admissions,Asian,3,5,1,3,3
337,2020,Race-Conscious Admissions,Hispanic,1,2,1,3,2
338,2020,Race-Conscious Admissions,Other,1,2,1,4,1
339,2020,Race-Conscious Admissions,White,3,5,1,3,2
340,2020,Race-Conscious Admissions,Asian,3,5,3,3,1
341,2020,Race-Conscious Admissions,White,4,5,1,4,5
342,2020,Race-Conscious Admissions,White,2,1,1,4,2
343,2020,Race-Conscious Admissions,Asian,3,3,2,4,4
344,2020,Race-Conscious Admissions,Black,1,1,1,3,1
345,2020,Race-Conscious Admissions,Asian,3,2,4,3,2
346,2020,Race-Conscious Admissions,Black,3,3,4,3,1
347,2020,Race-Conscious Admissions,White,4,2,2,5,5
348,2020,Race-Conscious Admissions,White,2,1,1,5,1
349,2020,Race-Conscious Admissions,Black,1,1,2,4,1
350,2020,Race-Conscious Admissions,White,2,2,3,3,1
351,2020,Race-Conscious Admissions,Black,4,5,1,3,5
352,2020,Race-Conscious Admissions,White,3,3,3,3,4
353,2020,Race-Conscious Admissions,White,3,5,2,4,2
354,2020,Race-Conscious Admissions,Asian,2,2,2,3,1
355,2020,Race-Conscious Admissions,White,2,3,1,2,3
356,2020,Race-Conscious Admissions,Black,4,5,3,3,5
357,2020,Race-Conscious Admissions,White,3,2,3,3,4
358,2020,Race-Conscious Admissions,White,2,2,3,4,1
359,2020,Race-Conscious Admissions,Black,3,3,2,2,4
360,2020,Race-Conscious Admissions,White,3,3,2,3,4
361,2020,Race-Conscious Admissions,Hispanic,3,2,3,5,1
362,2020,Race-Conscious Admissions,Black,3,2,1,2,5
363,2020,Race-Conscious Admissions,Black,4,5,2,4,4
364,2020,Race-Conscious Admissions,Hispanic,3,3,4,4,1
365,2020,Race-Conscious Admissions,Asian,3,4,3,4,1
366,2020,Race-Conscious Admissions,White,4,2,3,2,5
367,2020,Race-Conscious Admissions,Hispanic,2,1,4,5,1
368,2020,Race-Conscious Admissions,Asian,2,1,1,5,3
369,2020,Race-Conscious Admissions,White,4,3,1,5,4
370,2020,Race-Conscious Admissions,White,3,1,4,5,2
371,2020,Race-Conscious Admissions,Black,3,1,2,2,5
372,2020,Race-Conscious Admissions,White,3,5,1,3,4
373,2020,Race-Conscious Admissions,Asian,2,1,3,3,2
374,2020,Race-Conscious Admissions,Asian,3,2,4,3,3
375,2020,Race-Conscious Admissions,Asian,2,3,2,5,1
376,2020,Race-Conscious Admissions,Asian,3,3,3,4,2
377,2020,Race-Conscious Admissions,White,2,1,2,2,3
378,2020,Race-Conscious Admissions,Asian,2,3,2,3,1
379,2020,Race-Conscious Admissions,White,2,3,1,2,1
380,2020,Race-Conscious Admissions,White,2,2,2,5,1
381,2020,Race-Conscious Admissions,White,4,5,1,4,5
382,2020,Race-Conscious Admissions,White,3,5,2,3,2
383,2020,Race-Conscious Admissions,White,3,4,1,4,5
384,2020,Race-Conscious Admissions,Black,3,5,2,4,2
385,2020,Race-Conscious Admissions,White,3,4,2,3,2
386,2020,Race-Conscious Admissions,Asian,3,1,1,5,3
387,2020,Race-Conscious Admissions,Black,4,5,3,3,5
388,2020,Race-Conscious Admissions,Asian,4,4,3,5,5
389,2020,Race-Conscious Admissions,Black,2,4,1,4,1
390,2020,Race-Conscious Admissions,White,4,4,1,3,5
391,2020,Race-Conscious Admissions,Asian,3,2,2,3,5
392,2020,Race-Conscious Admissions,Hispanic,1,1,1,1,3
393,2020,Race-Conscious Admissions,White,2,1,2,2,2
394,2020,Race-Conscious Admissions,White,3,1,2,1,5
395,2020,Race-Conscious Admissions,Black,2,5,2,3,1
396,2020,Race-Conscious Admissions,Asian,4,5,2,3,3
397,2020,Race-Conscious Admissions,Asian,2,3,2,3,1
398,2020,Race-Conscious Admissions,White,3,5,4,2,2
399,2020,Race-Conscious Admissions,White,4,5,3,4,3
400,2020,Race-Conscious Admissions,Other,4,5,4,2,5
401,2020,Race-Conscious Admissions,Hispanic,4,5,2,5,3
402,2020,Race-Conscious Admissions,Hispanic,3,1,2,4,4
403,2020,Race-Conscious Admissions,Hispanic,3,1,1,3,5
404,2020,Race-Conscious Admissions,White,4,5,3,4,4
405,2020,Race-Conscious Admissions,Black,3,5,3,5,1
406,2020,Race-Conscious Admissions,Hispanic,3,4,4,2,1
407,2020,Race-Conscious Admissions,Hispanic,4,5,2,5,4
408,2020,Race-Conscious Admissions,White,4,3,3,2,5
409,2020,Race-Conscious Admissions,Black,3,3,1,5,2
410,2020,Race-Conscious Admissions,Hispanic,2,2,2,3,2
411,2020,Race-Conscious Admissions,White,4,5,2,3,5
412,2020,Race-Conscious Admissions,Hispanic,1,2,1,3,1
413,2020,Race-Conscious Admissions,White,1,2,2,2,1
414,2020,Race-Conscious Admissions,White,3,3,2,4,4
415,2020,Race-Conscious Admissions,Asian,4,5,3,4,3
416,2020,Race-Conscious Admissions,White,3,4,2,4,3
417,2020,Race-Conscious Admissions,White,2,1,3,4,3
418,2020,Race-Conscious Admissions,Asian,1,2,1,4,1
419,2020,Race-Conscious Admissions,Hispanic,3,2,1,3,4
420,2020,Race-Conscious Admissions,Asian,3,1,4,3,5
421,2020,Race-Conscious Admissions,White,2,1,1,4,1
422,2020,Race-Conscious Admissions,Asian,2,2,2,4,1
423,2020,Race-Conscious Admissions,Asian,2,3,4,4,1
424,2020,Race-Conscious Admissions,Asian,4,4,1,5,5
425,2020,Race-Conscious Admissions,White,3,2,1,4,3
426,2020,Race-Conscious Admissions,Black,4,4,2,4,5
427,2020,Race-Conscious Admissions,Asian,4,4,2,3,5
428,2020,Race-Conscious Admissions,White,2,1,3,3,5
429,2020,Race-Conscious Admissions,Asian,2,2,1,2,2
430,2020,Race-Conscious Admissions,Asian,2,3,2,4,1
431,2020,Race-Conscious Admissions,Black,3,2,1,4,5
432,2020,Race-Conscious Admissions,Hispanic,4,5,3,5,2
433,2020,Race-Conscious Admissions,Black,4,5,1,5,3
434,2020,Race-Conscious Admissions,Hispanic,3,3,4,4,2
435,2020,Race-Conscious Admissions,Black,3,3,1,4,3
436,2020,Race-Conscious Admissions,White,2,1,1,4,2
437,2020,Race-Conscious Admissions,White,4,5,3,4,5
438,2020,Race-Conscious Admissions,Hispanic,2,2,1,2,3
439,2020,Race-Conscious Admissions,Hispanic,3,1,3,4,4
440,2020,Race-Conscious Admissions,White,3,3,2,5,2
441,2020,Race-Conscious Admissions,White,3,4,2,3,4
442,2020,Race-Conscious Admissions,White,2,2,3,2,3
443,2020,Race-Conscious Admissions,White,3,5,3,3,4
444,2020,Race-Conscious Admissions,White,2,2,2,5,1
445,2020,Race-Conscious Admissions,White,2,4,2,3,1
446,2020,Race-Conscious Admissions,White,3,2,1,3,5
447,2020,Race-Conscious Admissions,Asian,1,2,2,3,1
448,2020,Race-Conscious Admissions,Hispanic,2,2,1,5,3
449,2020,Race-Conscious Admissions,Hispanic,3,5,2,3,1
450,2020,Race-Conscious Admissions,Asian,2,3,2,2,1
451,2020,Race-Conscious Admissions,White,3,2,2,3,4
452,2020,Race-Conscious Admissions,Black,3,2,3,3,2
453,2020,Race-Conscious Admissions,Black,3,4,1,4,1
454,2020,Race-Conscious Admissions,White,3,5,3,4,2
455,2020,Race-Conscious Admissions,White,3,3,3,3,2
456,2020,Race-Conscious Admissions,Asian,1,2,1,4,1
457,2020,Race-Conscious Admissions,Black,2,3,1,3,1
458,2020,Race-Conscious Admissions,Black,2,2,1,4,2
459,2020,Race-Conscious Admissions,Asian,4,3,3,3,5
