student_id,year,policy,overall_satisfaction,academic_satisfaction,social_satisfaction,diversity_satisfaction,career_prep_satisfaction
496,2020,Race-Conscious Admissions,2,1,1,3,4
497,2020,Race-Conscious Admissions,3,3,1,4,3
498,2020,Race-Conscious Admissions,3,5,3,3,2
499,2020,Race-Conscious Admissions,2,1,2,5,1
500,2020,Race-Conscious Admissions,3,5,2,4,1
501,2020,Race-Conscious Admissions,3,3,1,4,5
502,2020,Race-Conscious Admissions,4,4,1,4,5
503,2020,Race-Conscious Admissions,1,1,2,2,1
504,2020,Race-Conscious Admissions,3,4,2,4,4
505,2020,Race-Conscious Admissions,3,2,2,4,4
506,2020,Race-Conscious Admissions,3,3,2,4,1
507,2020,Race-Conscious Admissions,2,3,2,5,1
508,2020,Race-Conscious Admissions,3,4,1,4,5
509,2020,Race-Conscious Admissions,5,5,2,5,5
510,2020,Race-Conscious Admissions,3,5,1,2,3
511,2020,Race-Conscious Admissions,2,2,1,4,1
512,2020,Race-Conscious Admissions,2,1,2,3,3
513,2020,Race-Conscious Admissions,4,5,1,5,4
514,2020,Race-Conscious Admissions,3,4,1,2,3
